"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,322144,71643,"BPS  Open Water",71643,"EVT  Open Water",71643
"2",12,7735,412,92,"BPS  Perennial Ice/Snow",92,"EVT  Snow-Ice",92
"3",31,9001,157070,34932,"BPS  Barren-Rock/Sand/Clay",223574,"EVT  Sparsely Vegetated",69881
"4",31,9004,1,0,"BPS  Barren-Rock/Sand/Clay",223574,"EVT  Sparsely Vegetated",0
"5",31,9006,90,20,"BPS  Barren-Rock/Sand/Clay",223574,"EVT  Sparsely Vegetated",73
"6",31,9009,136,30,"BPS  Barren-Rock/Sand/Clay",223574,"EVT  Sparsely Vegetated",40
"7",31,9010,3,1,"BPS  Barren-Rock/Sand/Clay",223574,"EVT  Sparsely Vegetated",3
"8",31,9016,600636,133578,"BPS  Barren-Rock/Sand/Clay",223574,"EVT  Sparsely Vegetated",240213
"9",31,9018,205320,45662,"BPS  Barren-Rock/Sand/Clay",223574,"EVT  Sparsely Vegetated",143446
"10",31,9033,42046,9351,"BPS  Barren-Rock/Sand/Clay",223574,"EVT  Sparsely Vegetated",11165
"11",385,7019,13,3,"BPS  Sparse",504,"EVT  Conifer",43510
"12",385,7078,1,0,"BPS  Sparse",504,"EVT  Shrubland",4
"13",385,7082,25,6,"BPS  Sparse",504,"EVT  Shrubland",6707
"14",385,7088,1,0,"BPS  Sparse",504,"EVT  Shrubland",3
"15",385,7108,4,1,"BPS  Sparse",504,"EVT  Shrubland",6
"16",385,7127,1,0,"BPS  Sparse",504,"EVT  Shrubland",193280
"17",385,9001,2149,478,"BPS  Sparse",504,"EVT  Sparsely Vegetated",69881
"18",385,9018,63,14,"BPS  Sparse",504,"EVT  Sparsely Vegetated",143446
"19",385,9310,6,1,"BPS  Sparse",504,"EVT  Exotic Tree-Shrub",2
"20",385,9336,2,0,"BPS  Sparse",504,"EVT  Exotic Tree-Shrub",72715
"21",400,7012,19,4,"BPS  Shrubland",614,"EVT  Hardwood",368653
"22",400,7016,1050,234,"BPS  Shrubland",614,"EVT  Conifer",1631464
"23",400,7019,168,37,"BPS  Shrubland",614,"EVT  Conifer",43510
"24",400,7051,1,0,"BPS  Shrubland",614,"EVT  Conifer",432384
"25",400,7054,1,0,"BPS  Shrubland",614,"EVT  Conifer",282604
"26",400,7062,1,0,"BPS  Shrubland",614,"EVT  Conifer",108358
"27",400,7064,39,9,"BPS  Shrubland",614,"EVT  Shrubland",75142
"28",400,7079,81,18,"BPS  Shrubland",614,"EVT  Shrubland",25301
"29",400,7080,371,83,"BPS  Shrubland",614,"EVT  Shrubland",316968
"30",400,7081,7,2,"BPS  Shrubland",614,"EVT  Shrubland",38869
"31",400,7103,2,0,"BPS  Shrubland",614,"EVT  Shrubland",35
"32",400,7107,460,102,"BPS  Shrubland",614,"EVT  Shrubland",622991
"33",400,7126,48,11,"BPS  Shrubland",614,"EVT  Shrubland",1360552
"34",400,7127,157,35,"BPS  Shrubland",614,"EVT  Shrubland",193280
"35",400,7135,2,0,"BPS  Shrubland",614,"EVT  Grassland",2299
"36",400,7145,5,1,"BPS  Shrubland",614,"EVT  Grassland",186209
"37",400,7296,1,0,"BPS  Shrubland",614,"EVT  Developed-Low Intensity",14354
"38",400,7299,121,27,"BPS  Shrubland",614,"EVT  Developed-Roads",185364
"39",400,7900,1,0,"BPS  Shrubland",614,"EVT  Developed",13875
"40",400,7901,9,2,"BPS  Shrubland",614,"EVT  Developed",20555
"41",400,7903,1,0,"BPS  Shrubland",614,"EVT  Developed",7353
"42",400,7904,10,2,"BPS  Shrubland",614,"EVT  Developed",53688
"43",400,7923,3,1,"BPS  Shrubland",614,"EVT  Developed",3367
