Past,EVT,ACRES
Past Conifer,Agricultural,7339
Past Conifer,Conifer,2335342
Past Conifer,Conifer-Hardwood,149650
Past Conifer,Exotics,23892
Past Conifer,Grassland,29383
Past Conifer,Hardwood,140858
Past Conifer,Developed,48139
Past Conifer,Riparian,14374
Past Conifer,Shrubland,263614
Past Grassland,Agricultural,11139
Past Grassland,Conifer,32807
Past Grassland,Conifer-Hardwood,1986
Past Grassland,Exotics,14850
Past Grassland,Grassland,29425
Past Grassland,Hardwood,11760
Past Grassland,Developed,8480
Past Grassland,Riparian,4422
Past Grassland,Shrubland,70503
Past Hardwood,Agricultural,12950
Past Hardwood,Conifer,214993
Past Hardwood,Conifer-Hardwood,95433
Past Hardwood,Exotics,40366
Past Hardwood,Grassland,61310
Past Hardwood,Hardwood,729939
Past Hardwood,Developed,33829
Past Hardwood,Riparian,7238
Past Hardwood,Shrubland,349594
Past Hardwood-Conifer,Agricultural,189
Past Hardwood-Conifer,Conifer,577998
Past Hardwood-Conifer,Conifer-Hardwood,309881
Past Hardwood-Conifer,Exotics,8207
Past Hardwood-Conifer,Grassland,62556
Past Hardwood-Conifer,Hardwood,462509
Past Hardwood-Conifer,Developed,21094
Past Hardwood-Conifer,Riparian,6365
Past Hardwood-Conifer,Shrubland,130876
Past Riparian,Agricultural,47537
Past Riparian,Conifer,122442
Past Riparian,Conifer-Hardwood,21973
Past Riparian,Exotics,7767
Past Riparian,Grassland,7975
Past Riparian,Hardwood,58588
Past Riparian,Developed,34928
Past Riparian,Riparian,70302
Past Riparian,Shrubland,39107
Past Shrubland,Agricultural,182361
Past Shrubland,Conifer,1238096
Past Shrubland,Conifer-Hardwood,31834
Past Shrubland,Exotics,190112
Past Shrubland,Grassland,106580
Past Shrubland,Hardwood,176206
Past Shrubland,Developed,170771
Past Shrubland,Riparian,37113
Past Shrubland,Shrubland,1891585
