"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"1","10110_16_23_24_A","10110_16_23_24","A",49,"Rocky Mountain Aspen Forest and Woodland",965,1,1337928,10110,16,4972242,26
"2","10110_16_23_24_A","10110_16_23_24","A",49,"Rocky Mountain Aspen Forest and Woodland",1009,1,6052,10110,23,12540,48
"3","10110_16_23_24_B","10110_16_23_24","B",24,"Rocky Mountain Aspen Forest and Woodland",965,2,118536,10110,16,4972242,2
"4","10110_16_23_24_B","10110_16_23_24","B",24,"Rocky Mountain Aspen Forest and Woodland",1009,2,535,10110,23,12540,4
"5","10110_16_23_24_C","10110_16_23_24","C",6,"Rocky Mountain Aspen Forest and Woodland",965,3,1391125,10110,16,4972242,27
"6","10110_16_23_24_C","10110_16_23_24","C",6,"Rocky Mountain Aspen Forest and Woodland",1009,3,836,10110,23,12540,6
"7","10110_16_23_24_D","10110_16_23_24","D",18,"Rocky Mountain Aspen Forest and Woodland",965,4,1433150,10110,16,4972242,28
"8","10110_16_23_24_D","10110_16_23_24","D",18,"Rocky Mountain Aspen Forest and Woodland",1009,4,2205,10110,23,12540,17
"9","10110_16_23_24_E","10110_16_23_24","E",3,"Rocky Mountain Aspen Forest and Woodland",965,5,475670,10110,16,4972242,9
"10","10110_16_23_24_E","10110_16_23_24","E",3,"Rocky Mountain Aspen Forest and Woodland",1009,5,1013,10110,23,12540,8
"11","10110_16_23_24_Agriculture","10110_16_23_24","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",965,180,10850,10110,16,4972242,0
"12","10110_16_23_24_Agriculture","10110_16_23_24","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",1009,180,48,10110,23,12540,0
"13","10110_16_23_24_Developed","10110_16_23_24","Developed",0,"Rocky Mountain Aspen Forest and Woodland",965,120,92039,10110,16,4972242,1
"14","10110_16_23_24_Developed","10110_16_23_24","Developed",0,"Rocky Mountain Aspen Forest and Woodland",1009,120,3,10110,23,12540,0
"15","10110_16_23_24_Water","10110_16_23_24","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"16","10110_16_23_24_UN","10110_16_23_24","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"17","10110_16_23_24_UE","10110_16_23_24","UE",0,"Rocky Mountain Aspen Forest and Woodland",965,7,81008,10110,16,4972242,1
"18","10110_16_23_24_UE","10110_16_23_24","UE",0,"Rocky Mountain Aspen Forest and Woodland",1009,7,603,10110,23,12540,4
"19","10110_21_A","10110_21","A",9,"Rocky Mountain Aspen Forest and Woodland",686,1,8273,10110,21,23689,34
"20","10110_21_B","10110_21","B",24,"Rocky Mountain Aspen Forest and Woodland",686,2,1250,10110,21,23689,5
"21","10110_21_C","10110_21","C",25,"Rocky Mountain Aspen Forest and Woodland",686,3,4110,10110,21,23689,17
"22","10110_21_D","10110_21","D",27,"Rocky Mountain Aspen Forest and Woodland",686,4,6121,10110,21,23689,25
"23","10110_21_E","10110_21","E",15,"Rocky Mountain Aspen Forest and Woodland",686,5,2156,10110,21,23689,9
"24","10110_21_Agriculture","10110_21","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",686,180,848,10110,21,23689,3
"25","10110_21_Developed","10110_21","Developed",0,"Rocky Mountain Aspen Forest and Woodland",686,120,139,10110,21,23689,0
"26","10110_21_Water","10110_21","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"27","10110_21_UN","10110_21","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"28","10110_21_UE","10110_21","UE",0,"Rocky Mountain Aspen Forest and Woodland",686,7,771,10110,21,23689,3
"29","10110_22_A","10110_22","A",8,"Rocky Mountain Aspen Forest and Woodland",879,1,9471,10110,22,23112,40
"30","10110_22_B","10110_22","B",34,"Rocky Mountain Aspen Forest and Woodland",879,2,1077,10110,22,23112,4
"31","10110_22_C","10110_22","C",58,"Rocky Mountain Aspen Forest and Woodland",879,3,11062,10110,22,23112,47
"32","10110_22_D","10110_22","D",NA,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"33","10110_22_E","10110_22","E",NA,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"34","10110_22_Agriculture","10110_22","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",879,180,388,10110,22,23112,1
"35","10110_22_Developed","10110_22","Developed",0,"Rocky Mountain Aspen Forest and Woodland",879,120,494,10110,22,23112,2
"36","10110_22_Water","10110_22","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"37","10110_22_UN","10110_22","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"38","10110_22_UE","10110_22","UE",0,"Rocky Mountain Aspen Forest and Woodland",879,7,618,10110,22,23112,2
"39","10110_6_10_12_17_18_19_A","10110_6_10_12_17_18_19","A",14,"Rocky Mountain Aspen Forest and Woodland",1078,1,1,10110,17,2,50
"40","10110_6_10_12_17_18_19_A","10110_6_10_12_17_18_19","A",14,"Rocky Mountain Aspen Forest and Woodland",1218,1,196,10110,18,1415,13
"41","10110_6_10_12_17_18_19_B","10110_6_10_12_17_18_19","B",40,"Rocky Mountain Aspen Forest and Woodland",1218,2,22,10110,18,1415,1
"42","10110_6_10_12_17_18_19_C","10110_6_10_12_17_18_19","C",45,"Rocky Mountain Aspen Forest and Woodland",1218,3,427,10110,18,1415,30
"43","10110_6_10_12_17_18_19_D","10110_6_10_12_17_18_19","D",1,"Rocky Mountain Aspen Forest and Woodland",1218,4,678,10110,18,1415,47
"44","10110_6_10_12_17_18_19_E","10110_6_10_12_17_18_19","E",NA,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"45","10110_6_10_12_17_18_19_Agriculture","10110_6_10_12_17_18_19","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",1218,180,1,10110,18,1415,0
"46","10110_6_10_12_17_18_19_Developed","10110_6_10_12_17_18_19","Developed",0,"Rocky Mountain Aspen Forest and Woodland",1078,120,1,10110,17,2,50
"47","10110_6_10_12_17_18_19_Developed","10110_6_10_12_17_18_19","Developed",0,"Rocky Mountain Aspen Forest and Woodland",1218,120,24,10110,18,1415,1
"48","10110_6_10_12_17_18_19_Water","10110_6_10_12_17_18_19","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"49","10110_6_10_12_17_18_19_UN","10110_6_10_12_17_18_19","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"50","10110_6_10_12_17_18_19_UE","10110_6_10_12_17_18_19","UE",0,"Rocky Mountain Aspen Forest and Woodland",1218,7,67,10110,18,1415,4
"51","10120_16_27_A","10120_16_27","A",8,"Rocky Mountain Bigtooth Maple Ravine Woodland",966,1,196164,10120,16,1954117,10
"52","10120_16_27_B","10120_16_27","B",18,"Rocky Mountain Bigtooth Maple Ravine Woodland",966,2,546433,10120,16,1954117,27
"53","10120_16_27_C","10120_16_27","C",74,"Rocky Mountain Bigtooth Maple Ravine Woodland",966,3,999865,10120,16,1954117,51
"54","10120_16_27_D","10120_16_27","D",NA,"Rocky Mountain Bigtooth Maple Ravine Woodland",NA,NA,NA,NA,NA,NA,NA
"55","10120_16_27_E","10120_16_27","E",NA,"Rocky Mountain Bigtooth Maple Ravine Woodland",NA,NA,NA,NA,NA,NA,NA
"56","10120_16_27_Agriculture","10120_16_27","Agriculture",0,"Rocky Mountain Bigtooth Maple Ravine Woodland",966,180,46036,10120,16,1954117,2
"57","10120_16_27_Developed","10120_16_27","Developed",0,"Rocky Mountain Bigtooth Maple Ravine Woodland",966,120,59132,10120,16,1954117,3
"58","10120_16_27_Water","10120_16_27","Water",0,"Rocky Mountain Bigtooth Maple Ravine Woodland",NA,NA,NA,NA,NA,NA,NA
"59","10120_16_27_UN","10120_16_27","UN",0,"Rocky Mountain Bigtooth Maple Ravine Woodland",NA,NA,NA,NA,NA,NA,NA
"60","10120_16_27_UE","10120_16_27","UE",0,"Rocky Mountain Bigtooth Maple Ravine Woodland",966,7,100960,10120,16,1954117,5
"61","10120_17_18_21_A","10120_17_18_21","A",8,"Rocky Mountain Bigtooth Maple Ravine Woodland",687,1,219,10120,21,589,37
"62","10120_17_18_21_A","10120_17_18_21","A",8,"Rocky Mountain Bigtooth Maple Ravine Woodland",1079,1,138,10120,17,1018,13
"63","10120_17_18_21_A","10120_17_18_21","A",8,"Rocky Mountain Bigtooth Maple Ravine Woodland",1219,1,1,10120,18,64,1
"64","10120_17_18_21_B","10120_17_18_21","B",18,"Rocky Mountain Bigtooth Maple Ravine Woodland",687,2,91,10120,21,589,15
"65","10120_17_18_21_B","10120_17_18_21","B",18,"Rocky Mountain Bigtooth Maple Ravine Woodland",1079,2,176,10120,17,1018,17
"66","10120_17_18_21_B","10120_17_18_21","B",18,"Rocky Mountain Bigtooth Maple Ravine Woodland",1219,2,4,10120,18,64,6
"67","10120_17_18_21_C","10120_17_18_21","C",74,"Rocky Mountain Bigtooth Maple Ravine Woodland",687,3,241,10120,21,589,40
"68","10120_17_18_21_C","10120_17_18_21","C",74,"Rocky Mountain Bigtooth Maple Ravine Woodland",1079,3,360,10120,17,1018,35
"69","10120_17_18_21_C","10120_17_18_21","C",74,"Rocky Mountain Bigtooth Maple Ravine Woodland",1219,3,55,10120,18,64,85
"70","10120_17_18_21_D","10120_17_18_21","D",NA,"Rocky Mountain Bigtooth Maple Ravine Woodland",NA,NA,NA,NA,NA,NA,NA
"71","10120_17_18_21_E","10120_17_18_21","E",NA,"Rocky Mountain Bigtooth Maple Ravine Woodland",NA,NA,NA,NA,NA,NA,NA
"72","10120_17_18_21_Agriculture","10120_17_18_21","Agriculture",0,"Rocky Mountain Bigtooth Maple Ravine Woodland",687,180,7,10120,21,589,1
"73","10120_17_18_21_Agriculture","10120_17_18_21","Agriculture",0,"Rocky Mountain Bigtooth Maple Ravine Woodland",1079,180,48,10120,17,1018,4
"74","10120_17_18_21_Developed","10120_17_18_21","Developed",0,"Rocky Mountain Bigtooth Maple Ravine Woodland",687,120,1,10120,21,589,0
"75","10120_17_18_21_Developed","10120_17_18_21","Developed",0,"Rocky Mountain Bigtooth Maple Ravine Woodland",1079,120,272,10120,17,1018,26
"76","10120_17_18_21_Developed","10120_17_18_21","Developed",0,"Rocky Mountain Bigtooth Maple Ravine Woodland",1219,120,1,10120,18,64,1
"77","10120_17_18_21_Water","10120_17_18_21","Water",0,"Rocky Mountain Bigtooth Maple Ravine Woodland",NA,NA,NA,NA,NA,NA,NA
"78","10120_17_18_21_UN","10120_17_18_21","UN",0,"Rocky Mountain Bigtooth Maple Ravine Woodland",NA,NA,NA,NA,NA,NA,NA
"79","10120_17_18_21_UE","10120_17_18_21","UE",0,"Rocky Mountain Bigtooth Maple Ravine Woodland",687,7,30,10120,21,589,5
"80","10120_17_18_21_UE","10120_17_18_21","UE",0,"Rocky Mountain Bigtooth Maple Ravine Woodland",1079,7,24,10120,17,1018,2
"81","10120_17_18_21_UE","10120_17_18_21","UE",0,"Rocky Mountain Bigtooth Maple Ravine Woodland",1219,7,3,10120,18,64,4
"82","10160_13_14_A","10160_13_14","A",2,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"83","10160_13_14_B","10160_13_14","B",7,"Colorado Plateau Pinyon-Juniper Woodland",491,2,1048,10160,13,2168,48
"84","10160_13_14_C","10160_13_14","C",27,"Colorado Plateau Pinyon-Juniper Woodland",491,3,334,10160,13,2168,15
"85","10160_13_14_D","10160_13_14","D",64,"Colorado Plateau Pinyon-Juniper Woodland",491,4,502,10160,13,2168,23
"86","10160_13_14_E","10160_13_14","E",NA,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"87","10160_13_14_Agriculture","10160_13_14","Agriculture",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"88","10160_13_14_Developed","10160_13_14","Developed",0,"Colorado Plateau Pinyon-Juniper Woodland",491,120,16,10160,13,2168,0
"89","10160_13_14_Water","10160_13_14","Water",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"90","10160_13_14_UN","10160_13_14","UN",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"91","10160_13_14_UE","10160_13_14","UE",0,"Colorado Plateau Pinyon-Juniper Woodland",491,7,101,10160,13,2168,4
"92","10160_16_23_24_25_A","10160_16_23_24_25","A",9,"Colorado Plateau Pinyon-Juniper Woodland",967,1,454980,10160,16,2603041,17
"93","10160_16_23_24_25_A","10160_16_23_24_25","A",9,"Colorado Plateau Pinyon-Juniper Woodland",1010,1,32894,10160,23,164044,20
"94","10160_16_23_24_25_B","10160_16_23_24_25","B",21,"Colorado Plateau Pinyon-Juniper Woodland",967,2,1705,10160,16,2603041,0
"95","10160_16_23_24_25_B","10160_16_23_24_25","B",21,"Colorado Plateau Pinyon-Juniper Woodland",1010,2,159,10160,23,164044,0
"96","10160_16_23_24_25_C","10160_16_23_24_25","C",24,"Colorado Plateau Pinyon-Juniper Woodland",967,3,866924,10160,16,2603041,33
"97","10160_16_23_24_25_C","10160_16_23_24_25","C",24,"Colorado Plateau Pinyon-Juniper Woodland",1010,3,75864,10160,23,164044,46
"98","10160_16_23_24_25_D","10160_16_23_24_25","D",38,"Colorado Plateau Pinyon-Juniper Woodland",967,4,1041810,10160,16,2603041,40
"99","10160_16_23_24_25_D","10160_16_23_24_25","D",38,"Colorado Plateau Pinyon-Juniper Woodland",1010,4,40282,10160,23,164044,24
"100","10160_16_23_24_25_E","10160_16_23_24_25","E",8,"Colorado Plateau Pinyon-Juniper Woodland",967,5,95222,10160,16,2603041,3
"101","10160_16_23_24_25_E","10160_16_23_24_25","E",8,"Colorado Plateau Pinyon-Juniper Woodland",1010,5,2950,10160,23,164044,1
"102","10160_16_23_24_25_Agriculture","10160_16_23_24_25","Agriculture",0,"Colorado Plateau Pinyon-Juniper Woodland",967,180,3041,10160,16,2603041,0
"103","10160_16_23_24_25_Agriculture","10160_16_23_24_25","Agriculture",0,"Colorado Plateau Pinyon-Juniper Woodland",1010,180,367,10160,23,164044,0
"104","10160_16_23_24_25_Developed","10160_16_23_24_25","Developed",0,"Colorado Plateau Pinyon-Juniper Woodland",967,120,21324,10160,16,2603041,0
"105","10160_16_23_24_25_Developed","10160_16_23_24_25","Developed",0,"Colorado Plateau Pinyon-Juniper Woodland",1010,120,382,10160,23,164044,0
"106","10160_16_23_24_25_Water","10160_16_23_24_25","Water",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"107","10160_16_23_24_25_UN","10160_16_23_24_25","UN",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
