"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",995,7248069,11261,16,"11261_16_23_24","Inter-Mountain Basins Montane Sagebrush Steppe-Mountain Big Sagebrush","Shrubland",49,NA,NA,49,100,NA,NA,"IV-A",230,0,169,0.901960784,0,0.662745098,1611932,14.3
"2",978,5151905,10612,16,"10612_16_23","Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland-High Elevation","Hardwood-Conifer",70,60,NA,32,46,54,NA,"I-C",200,230,0,0.784313725,0.901960784,0,1145756,10.1
"3",965,4972242,10110,16,"10110_16_23_24","Rocky Mountain Aspen Forest and Woodland","Hardwood",59,50,NA,27,46,54,NA,"I-C",255,255,115,1,1,0.450980392,1105800,9.8
"4",974,4817040,10550,16,"10550_16_23_24","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",214,7242,NA,208,97,3,NA,"V-A",211,255,190,0.82745098,1,0.745098039,1071284,9.5
"5",967,2603041,10160,16,"10160_16_23_24_25","Colorado Plateau Pinyon-Juniper Woodland","Conifer",435,195,2265,127,29,65,6,"III-B",205,170,102,0.803921569,0.666666667,0.4,578902,5.1
"6",990,2351973,11071,16,"11071_16","Rocky Mountain Gambel Oak-Mixed Montane Shrubland -Continuous","Shrubland",57,162,NA,42,74,26,NA,"III-A",115,255,223,0.450980392,1,0.874509804,523066,4.6
"7",977,2005273,10611,16,"10611_16_23_24","Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland-Low Elevation","Hardwood-Conifer",43,13,NA,10,24,76,NA,"I-B",230,230,0,0.901960784,0.901960784,0,445962,3.9
"8",966,1954117,10120,16,"10120_16_27","Rocky Mountain Bigtooth Maple Ravine Woodland","Hardwood",136,82,NA,51,38,62,NA,"III-A",255,211,127,1,0.82745098,0.498039216,434585,3.8
"9",972,1894724,10520,16,"10520_16_23_24","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Conifer",180,89,74,33,19,37,44,"I-C",115,149,230,0.450980392,0.584313725,0.901960784,421376,3.7
"10",996,1877802,11262,16,"11262_16_23","Inter-Mountain Basins Montane Sagebrush Steppe-Low Sagebrush","Shrubland",219,NA,NA,219,100,NA,NA,"V-A",255,197,191,1,0.77254902,0.749019608,417613,3.7
"11",1004,1675233,11590,16,"11590_16_23_24_26","Rocky Mountain Montane Riparian Systems","Riparian",270,NA,79,61,23,NA,77,"III-A",123,124,93,0.482352941,0.48627451,0.364705882,372563,3.3
"12",2707,1568846,10804,16,"10804_6_12_15_16_17_18_23_24_25","Inter-Mountain Basins Big Sagebrush Shrubland-Upland","Shrubland",120,NA,NA,120,100,NA,NA,"IV-B",255,190,232,1,0.745098039,0.909803922,348903,3.1
"13",973,1458365,10540,16,"10540_16_23_24","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",280,226,20,17,6,8,86,"I-C",168,56,0,0.658823529,0.219607843,0,324333,2.9
"14",971,1367314,10510,16,"10510_15_16_17_22_23_24_25","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Conifer",90,77,14,11,12,14,74,"I-B",190,210,255,0.745098039,0.823529412,1,304083,2.7
"15",979,1317502,10620,16,"10620_16_23","Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland","Shrubland",246,137,228,64,26,46,28,"III-A",191,19,230,0.749019608,0.074509804,0.901960784,293005,2.6
"16",991,1266566,11072,16,"11072_16","Rocky Mountain Gambel Oak-Mixed Montane Shrubland-Patchy","Shrubland",153,51,NA,39,25,75,NA,"III-A",102,205,171,0.4,0.803921569,0.670588235,281677,2.5
