"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","10110_16_23_24",0.0374446,"Rocky Mountain Aspen Forest and Woodland",965,1105800,9.8,41406.23868
"2","All Fire","10110_16_23_24",0.0374446,"Rocky Mountain Aspen Forest and Woodland",1009,2789,0,104.4329894
"3","All Fire","10110_21",0.0090334,"Rocky Mountain Aspen Forest and Woodland",686,5268,0,47.5879512
"4","All Fire","10110_22",0.0060602,"Rocky Mountain Aspen Forest and Woodland",879,5140,0,31.149428
"5","All Fire","10110_6_10_12_17_18_19",0.0320966,"Rocky Mountain Aspen Forest and Woodland",1078,0,0,0
"6","All Fire","10110_6_10_12_17_18_19",0.0320966,"Rocky Mountain Aspen Forest and Woodland",1218,315,0,10.110429
"7","All Fire","10120_16_27",0.019869,"Rocky Mountain Bigtooth Maple Ravine Woodland",966,434585,3.8,8634.769365
"8","All Fire","10120_17_18_21",0.0198082,"Rocky Mountain Bigtooth Maple Ravine Woodland",687,131,0,2.5948742
"9","All Fire","10120_17_18_21",0.0198082,"Rocky Mountain Bigtooth Maple Ravine Woodland",1079,226,0,4.4766532
"10","All Fire","10120_17_18_21",0.0198082,"Rocky Mountain Bigtooth Maple Ravine Woodland",1219,14,0,0.2773148
"11","All Fire","10160_13_14",0.0064858,"Colorado Plateau Pinyon-Juniper Woodland",491,482,0,3.1261556
"12","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",967,578902,5.1,4545.7700648
"13","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",1010,36483,0.3,286.4791092
"14","All Fire","10160_17",0.0078456,"Colorado Plateau Pinyon-Juniper Woodland",1080,1395,0,10.944612
"15","All Fire","10160_22",0.007225,"Colorado Plateau Pinyon-Juniper Woodland",880,11266,0.1,81.39685
"16","All Fire","10190_13_14",0.00641,"Great Basin Pinyon-Juniper Woodland",492,105,0,0.67305
"17","All Fire","10190_6_7_9_12_16_17_18_19",0.0022394,"Great Basin Pinyon-Juniper Woodland",968,18053,0.2,40.4278882
"18","All Fire","10190_6_7_9_12_16_17_18_19",0.0022394,"Great Basin Pinyon-Juniper Woodland",1081,1845,0,4.131693
"19","All Fire","10190_6_7_9_12_16_17_18_19",0.0022394,"Great Basin Pinyon-Juniper Woodland",1221,54,0,0.1209276
"20","All Fire","10460_21",0.0051614,"Northern Rocky Mountain Subalpine Woodland and Parkland",689,28,0,0.1445192
"21","All Fire","10490_16_22",0.004791,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",881,3577,0,17.137407
"22","All Fire","10490_16_22",0.004791,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",969,2,0,0.009582
"23","All Fire","10490_19_20_21_23_28_29",0.0025256,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",690,201,0,0.5076456
"24","All Fire","10500_16_23_28",0.0081052,"Rocky Mountain Lodgepole Pine Forest",970,198050,1.8,1605.23486
"25","All Fire","10500_18",0.0082098,"Rocky Mountain Lodgepole Pine Forest",1223,2,0,0.0164196
"26","All Fire","10500_22",0.005998,"Rocky Mountain Lodgepole Pine Forest",882,177,0,1.061646
"27","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",971,304083,2.7,28429.8751854
"28","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",883,106,0,9.9103428
"29","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1013,4605,0,430.538949
"30","All Fire","10510_18_21",0.094729,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1224,4,0,0.378916
"31","All Fire","10520_16_23_24",0.0301954,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",972,421376,3.7,12723.6168704
"32","All Fire","10520_16_23_24",0.0301954,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1014,2530,0,76.394362
"33","All Fire","10520_17",0.0298724,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1084,6,0,0.1792344
"34","All Fire","10520_18",0.0300564,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1225,9,0,0.2705076
"35","All Fire","10520_21",0.029814,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",692,93,0,2.772702
"36","All Fire","10540_13_14",0.066674,"Southern Rocky Mountain Ponderosa Pine Woodland",495,3,0,0.200022
"37","All Fire","10540_16_23_24",0.0586996,"Southern Rocky Mountain Ponderosa Pine Woodland",973,324333,2.9,19038.2173668
"38","All Fire","10540_16_23_24",0.0586996,"Southern Rocky Mountain Ponderosa Pine Woodland",1015,11854,0.1,695.8250584
"39","All Fire","10540_17",0.0671124,"Southern Rocky Mountain Ponderosa Pine Woodland",1085,21,0,1.4093604
"40","All Fire","10540_22",0.0789302,"Southern Rocky Mountain Ponderosa Pine Woodland",884,733,0,57.8558366
"41","All Fire","10550_16_23_24",0.0048182,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",974,1071284,9.5,5161.6605688
"42","All Fire","10550_16_23_24",0.0048182,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1016,2498,0,12.0358636
"43","All Fire","10550_18",0.0070418,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1226,0,0,0
"44","All Fire","10550_21_22",0.0030068,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",693,1061,0,3.1902148
"45","All Fire","10550_21_22",0.0030068,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",885,1196,0,3.5961328
"46","All Fire","10560_16_23",0.0048518,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",975,2541,0,12.3284238
"47","All Fire","10560_21_22",0.0034478,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",694,2185,0,7.533443
"48","All Fire","10570_12_16",0.0069324,"Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland",976,369,0,2.5580556
"49","All Fire","10610_13",0.0303076,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",496,1,0,0.0303076
"50","All Fire","10610_18",0.0350682,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1229,14,0,0.4909548
"51","All Fire","10610_22_27_28",0.0348958,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",887,107,0,3.7338506
"52","All Fire","10610_8_9_17",0.0367526,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1087,0,0,0
"53","All Fire","10611_16_23_24",0.0980794,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation",977,445962,3.9,43739.6853828
"54","All Fire","10611_16_23_24",0.0980794,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation",1019,1997,0,195.8645618
"55","All Fire","10612_16_23",0.0307444,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation",978,1145756,10.1,35225.5807664
"56","All Fire","10612_16_23",0.0307444,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation",1020,424,0,13.0356256
"57","All Fire","10620_10_19_21_29_31",0.014686,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",695,6,0,0.088116
"58","All Fire","10620_16_23",0.0154918,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",979,293005,2.6,4539.174859
"59","All Fire","10620_16_23",0.0154918,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",1021,216,0,3.3462288
"60","All Fire","10620_22_28",0.0171456,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",888,490,0,8.401344
"61","All Fire","10620_6_12_17_18",0.014307,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",1088,113,0,1.616691
"62","All Fire","10620_6_12_17_18",0.014307,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",1230,37,0,0.529359
"63","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",980,32779,0.3,417.506123
"64","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",1022,79,0,1.006223
"65","All Fire","10700_16",0.0043696,"Rocky Mountain Alpine Dwarf-Shrubland",981,20402,0.2,89.1485792
"66","All Fire","10720_22_29",0.003041,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",890,112,0,0.340592
"67","All Fire","10780_16_23_24_25",0.013147,"Colorado Plateau Blackbrush-Mormon-tea Shrubland",982,512,0,6.731264
"68","All Fire","10780_16_23_24_25",0.013147,"Colorado Plateau Blackbrush-Mormon-tea Shrubland",1024,35,0,0.460145
"69","All Fire","10790_6_9_10_12_16_17_18",0.0118728,"Great Basin Xeric Mixed Sagebrush Shrubland",983,15207,0.1,180.5496696
"70","All Fire","10790_6_9_10_12_16_17_18",0.0118728,"Great Basin Xeric Mixed Sagebrush Shrubland",1090,391,0,4.6422648
"71","All Fire","10790_6_9_10_12_16_17_18",0.0118728,"Great Basin Xeric Mixed Sagebrush Shrubland",1231,2,0,0.0237456
"72","All Fire","10800_13_14",0.009226,"Inter-Mountain Basins Big Sagebrush Shrubland",499,141,0,1.300866
"73","All Fire","10801_21_22_28",0.0136586,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",697,13,0,0.1775618
"74","All Fire","10801_21_22_28",0.0136586,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",891,2600,0,35.51236
"75","All Fire","10802_21_22_28",0.010061,"Inter-Mountain Basins Big Sagebrush Shrubland - Wyoming Big Sagebrush",892,42713,0.4,429.735493
"76","All Fire","10803_6_12_15_16_17_18_23_24_25",0.0066022,"Inter-Mountain Basins Big Sagebrush Shrubland - Semi-Desert",2706,57939,0.5,382.5248658
"77","All Fire","10803_6_12_15_16_17_18_23_24_25",0.0066022,"Inter-Mountain Basins Big Sagebrush Shrubland - Semi-Desert",2712,37,0,0.2442814
"78","All Fire","10804_6_12_15_16_17_18_23_24_25",0.0084418,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",2707,348903,3.1,2945.3693454
"79","All Fire","10804_6_12_15_16_17_18_23_24_25",0.0084418,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",2709,1842,0,15.5497956
"80","All Fire","10804_6_12_15_16_17_18_23_24_25",0.0084418,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",2713,4441,0,37.4900338
"81","All Fire","10810_15_16_23_24_28",0.001596,"Inter-Mountain Basins Mixed Salt Desert Scrub",985,28124,0.2,44.885904
"82","All Fire","10810_15_16_23_24_28",0.001596,"Inter-Mountain Basins Mixed Salt Desert Scrub",1026,439,0,0.700644
"83","All Fire","10810_22",0.0022558,"Inter-Mountain Basins Mixed Salt Desert Scrub",893,163,0,0.3676954
